"period","i","j","friend_m2"
"1975-1997","at","ba",0
"1975-1997","at","be",0
"1975-1997","at","ch",0
"1975-1997","at","cy",0
"1975-1997","at","de",0
"1975-1997","at","dk",0
"1975-1997","at","ee",0
"1975-1997","at","es",0
"1975-1997","at","fi",0
"1975-1997","at","fr",0
"1975-1997","at","gb",1
"1975-1997","at","gr",0
"1975-1997","at","hr",0
"1975-1997","at","hu",0
"1975-1997","at","ie",0
"1975-1997","at","il",0
"1975-1997","at","is",0
"1975-1997","at","it",0
"1975-1997","at","lu",0
"1975-1997","at","mc",0
"1975-1997","at","mt",0
"1975-1997","at","nl",0
"1975-1997","at","no",0
"1975-1997","at","pl",0
"1975-1997","at","pt",0
"1975-1997","at","ru",0
"1975-1997","at","se",0
"1975-1997","at","si",0
"1975-1997","at","tr",0
"1975-1997","at","yu",0
"1975-1997","ba","at",0
"1975-1997","ba","be",0
"1975-1997","ba","ch",0
"1975-1997","ba","cy",0
"1975-1997","ba","de",0
"1975-1997","ba","dk",0
"1975-1997","ba","ee",0
"1975-1997","ba","es",0
"1975-1997","ba","fi",0
"1975-1997","ba","fr",0
"1975-1997","ba","gb",0
"1975-1997","ba","gr",0
"1975-1997","ba","hr",0
"1975-1997","ba","hu",0
"1975-1997","ba","ie",0
"1975-1997","ba","is",0
"1975-1997","ba","mt",0
"1975-1997","ba","nl",0
"1975-1997","ba","no",0
"1975-1997","ba","pl",0
"1975-1997","ba","pt",0
"1975-1997","ba","ru",0
"1975-1997","ba","se",0
"1975-1997","ba","si",0
"1975-1997","ba","tr",0
"1975-1997","be","at",0
"1975-1997","be","ba",0
"1975-1997","be","ch",0
"1975-1997","be","cy",0
"1975-1997","be","de",1
"1975-1997","be","dk",0
"1975-1997","be","es",0
"1975-1997","be","fi",0
"1975-1997","be","fr",0
"1975-1997","be","gb",0
"1975-1997","be","gr",0
"1975-1997","be","hr",0
"1975-1997","be","ie",0
"1975-1997","be","il",0
"1975-1997","be","is",0
"1975-1997","be","it",0
"1975-1997","be","lu",0
"1975-1997","be","mc",0
"1975-1997","be","mt",0
"1975-1997","be","nl",0
"1975-1997","be","no",1
"1975-1997","be","pt",0
"1975-1997","be","se",0
"1975-1997","be","si",0
"1975-1997","be","tr",0
"1975-1997","be","yu",0
"1975-1997","ch","at",0
"1975-1997","ch","ba",0
"1975-1997","ch","be",0
"1975-1997","ch","cy",0
"1975-1997","ch","de",0
"1975-1997","ch","dk",0
"1975-1997","ch","ee",0
"1975-1997","ch","es",0
"1975-1997","ch","fi",0
"1975-1997","ch","fr",0
"1975-1997","ch","gb",0
"1975-1997","ch","gr",0
"1975-1997","ch","hr",0
"1975-1997","ch","ie",0
"1975-1997","ch","il",1
"1975-1997","ch","is",0
"1975-1997","ch","it",0
"1975-1997","ch","lu",0
"1975-1997","ch","mc",0
"1975-1997","ch","mt",0
"1975-1997","ch","nl",0
"1975-1997","ch","no",0
"1975-1997","ch","pl",0
"1975-1997","ch","pt",0
"1975-1997","ch","se",0
"1975-1997","ch","si",0
"1975-1997","ch","tr",0
"1975-1997","ch","yu",0
"1975-1997","cy","at",0
"1975-1997","cy","ba",0
"1975-1997","cy","be",0
"1975-1997","cy","ch",0
"1975-1997","cy","de",0
"1975-1997","cy","dk",0
"1975-1997","cy","ee",0
"1975-1997","cy","es",0
"1975-1997","cy","fi",0
"1975-1997","cy","fr",0
"1975-1997","cy","gb",0
"1975-1997","cy","gr",1
"1975-1997","cy","hr",0
"1975-1997","cy","hu",0
"1975-1997","cy","ie",0
"1975-1997","cy","il",0
"1975-1997","cy","is",0
"1975-1997","cy","it",0
"1975-1997","cy","lu",0
"1975-1997","cy","mt",0
"1975-1997","cy","nl",0
"1975-1997","cy","no",0
"1975-1997","cy","pl",0
"1975-1997","cy","pt",0
"1975-1997","cy","ru",0
"1975-1997","cy","se",0
"1975-1997","cy","si",0
"1975-1997","cy","tr",0
"1975-1997","cy","yu",1
"1975-1997","de","at",0
"1975-1997","de","ba",0
"1975-1997","de","be",0
"1975-1997","de","ch",0
"1975-1997","de","cy",0
"1975-1997","de","dk",0
"1975-1997","de","es",0
"1975-1997","de","fi",0
"1975-1997","de","fr",0
"1975-1997","de","gb",0
"1975-1997","de","gr",0
"1975-1997","de","hr",0
"1975-1997","de","hu",0
"1975-1997","de","ie",0
"1975-1997","de","il",0
"1975-1997","de","is",0
"1975-1997","de","it",0
"1975-1997","de","lu",0
"1975-1997","de","mc",0
"1975-1997","de","mt",0
"1975-1997","de","nl",0
"1975-1997","de","no",0
"1975-1997","de","pl",0
"1975-1997","de","pt",0
"1975-1997","de","ru",0
"1975-1997","de","se",0
"1975-1997","de","si",0
"1975-1997","de","tr",0
"1975-1997","de","yu",0
"1975-1997","dk","at",0
"1975-1997","dk","ba",0
"1975-1997","dk","be",0
"1975-1997","dk","ch",0
"1975-1997","dk","cy",0
"1975-1997","dk","de",1
"1975-1997","dk","es",0
"1975-1997","dk","fi",0
"1975-1997","dk","fr",0
"1975-1997","dk","gb",0
"1975-1997","dk","gr",0
"1975-1997","dk","hr",0
"1975-1997","dk","ie",0
"1975-1997","dk","il",0
"1975-1997","dk","is",0
"1975-1997","dk","it",0
"1975-1997","dk","lu",0
"1975-1997","dk","mt",0
"1975-1997","dk","nl",0
"1975-1997","dk","no",0
"1975-1997","dk","pt",0
"1975-1997","dk","se",1
"1975-1997","dk","si",0
"1975-1997","dk","tr",0
"1975-1997","dk","yu",0
"1975-1997","ee","at",0
"1975-1997","ee","ba",0
"1975-1997","ee","ch",0
"1975-1997","ee","cy",0
"1975-1997","ee","es",0
"1975-1997","ee","fr",0
"1975-1997","ee","gb",0
"1975-1997","ee","gr",0
"1975-1997","ee","hr",0
"1975-1997","ee","ie",0
"1975-1997","ee","is",0
"1975-1997","ee","mt",0
"1975-1997","ee","nl",0
"1975-1997","ee","no",0
"1975-1997","ee","pl",0
"1975-1997","ee","pt",0
"1975-1997","ee","se",0
"1975-1997","es","at",0
"1975-1997","es","ba",0
"1975-1997","es","be",0
"1975-1997","es","ch",0
"1975-1997","es","cy",0
"1975-1997","es","de",0
"1975-1997","es","dk",0
"1975-1997","es","ee",0
"1975-1997","es","fi",0
"1975-1997","es","fr",0
"1975-1997","es","gb",0
"1975-1997","es","gr",1
"1975-1997","es","hr",0
"1975-1997","es","hu",0
"1975-1997","es","ie",0
"1975-1997","es","il",0
"1975-1997","es","is",0
"1975-1997","es","it",1
"1975-1997","es","lu",0
"1975-1997","es","mc",0
"1975-1997","es","mt",0
"1975-1997","es","nl",0
"1975-1997","es","no",0
"1975-1997","es","pl",0
"1975-1997","es","pt",1
"1975-1997","es","ru",0
"1975-1997","es","se",0
"1975-1997","es","si",0
"1975-1997","es","tr",0
"1975-1997","es","yu",0
"1975-1997","fi","at",0
"1975-1997","fi","ba",0
"1975-1997","fi","be",0
"1975-1997","fi","ch",0
"1975-1997","fi","cy",0
"1975-1997","fi","de",0
"1975-1997","fi","dk",0
"1975-1997","fi","es",0
"1975-1997","fi","fr",0
"1975-1997","fi","gb",0
"1975-1997","fi","gr",0
"1975-1997","fi","hr",0
"1975-1997","fi","ie",0
"1975-1997","fi","il",0
"1975-1997","fi","is",0
"1975-1997","fi","it",1
"1975-1997","fi","lu",0
"1975-1997","fi","mc",0
"1975-1997","fi","mt",0
"1975-1997","fi","nl",0
"1975-1997","fi","no",0
"1975-1997","fi","pt",0
"1975-1997","fi","se",0
"1975-1997","fi","tr",0
"1975-1997","fi","yu",0
"1975-1997","fr","at",0
"1975-1997","fr","ba",0
"1975-1997","fr","be",0
"1975-1997","fr","ch",0
"1975-1997","fr","cy",0
"1975-1997","fr","de",0
"1975-1997","fr","dk",0
"1975-1997","fr","ee",0
"1975-1997","fr","es",0
"1975-1997","fr","fi",0
"1975-1997","fr","gb",0
"1975-1997","fr","gr",0
"1975-1997","fr","hr",0
"1975-1997","fr","hu",0
"1975-1997","fr","ie",0
"1975-1997","fr","il",0
"1975-1997","fr","is",0
"1975-1997","fr","it",0
"1975-1997","fr","lu",0
"1975-1997","fr","mc",0
"1975-1997","fr","mt",0
"1975-1997","fr","nl",0
"1975-1997","fr","no",0
"1975-1997","fr","pl",0
"1975-1997","fr","pt",1
"1975-1997","fr","ru",0
"1975-1997","fr","se",0
"1975-1997","fr","si",0
"1975-1997","fr","tr",0
"1975-1997","fr","yu",0
"1975-1997","gb","at",0
"1975-1997","gb","ba",0
"1975-1997","gb","be",0
"1975-1997","gb","ch",0
"1975-1997","gb","cy",0
"1975-1997","gb","de",0
"1975-1997","gb","dk",0
"1975-1997","gb","ee",0
"1975-1997","gb","es",0
"1975-1997","gb","fi",0
"1975-1997","gb","fr",0
"1975-1997","gb","gr",0
"1975-1997","gb","hr",0
"1975-1997","gb","hu",0
"1975-1997","gb","ie",0
"1975-1997","gb","il",0
"1975-1997","gb","is",0
"1975-1997","gb","it",0
"1975-1997","gb","lu",0
"1975-1997","gb","mc",0
"1975-1997","gb","mt",0
"1975-1997","gb","nl",0
"1975-1997","gb","no",0
"1975-1997","gb","pl",0
"1975-1997","gb","pt",0
"1975-1997","gb","ru",0
"1975-1997","gb","se",0
"1975-1997","gb","si",0
"1975-1997","gb","tr",0
"1975-1997","gb","yu",0
"1975-1997","gr","at",0
"1975-1997","gr","ba",0
"1975-1997","gr","be",0
"1975-1997","gr","ch",0
"1975-1997","gr","cy",1
"1975-1997","gr","de",0
"1975-1997","gr","dk",0
"1975-1997","gr","ee",0
"1975-1997","gr","es",1
"1975-1997","gr","fi",0
"1975-1997","gr","fr",0
"1975-1997","gr","gb",0
"1975-1997","gr","hr",0
"1975-1997","gr","hu",0
"1975-1997","gr","ie",0
"1975-1997","gr","il",0
"1975-1997","gr","is",0
"1975-1997","gr","it",0
"1975-1997","gr","lu",0
"1975-1997","gr","mc",0
"1975-1997","gr","mt",0
"1975-1997","gr","nl",0
"1975-1997","gr","no",0
"1975-1997","gr","pl",0
"1975-1997","gr","pt",0
"1975-1997","gr","ru",0
"1975-1997","gr","se",0
"1975-1997","gr","si",0
"1975-1997","gr","tr",0
"1975-1997","gr","yu",0
"1975-1997","hr","at",0
"1975-1997","hr","ba",0
"1975-1997","hr","be",0
"1975-1997","hr","ch",0
"1975-1997","hr","cy",0
"1975-1997","hr","de",0
"1975-1997","hr","dk",0
"1975-1997","hr","ee",0
"1975-1997","hr","es",0
"1975-1997","hr","fi",0
"1975-1997","hr","fr",0
"1975-1997","hr","gb",0
"1975-1997","hr","gr",0
"1975-1997","hr","hu",0
"1975-1997","hr","ie",0
"1975-1997","hr","is",0
"1975-1997","hr","mt",1
"1975-1997","hr","nl",0
"1975-1997","hr","no",0
"1975-1997","hr","pl",0
"1975-1997","hr","pt",0
"1975-1997","hr","ru",0
"1975-1997","hr","se",0
"1975-1997","hr","si",0
"1975-1997","hr","tr",0
"1975-1997","hu","at",0
"1975-1997","hu","ba",0
"1975-1997","hu","cy",0
"1975-1997","hu","de",0
"1975-1997","hu","es",0
"1975-1997","hu","fr",0
"1975-1997","hu","gb",0
"1975-1997","hu","gr",0
"1975-1997","hu","hr",0
"1975-1997","hu","ie",0
"1975-1997","hu","is",0
"1975-1997","hu","mt",0
"1975-1997","hu","no",0
"1975-1997","hu","pl",0
"1975-1997","hu","pt",0
"1975-1997","hu","ru",0
"1975-1997","hu","se",0
"1975-1997","ie","at",0
"1975-1997","ie","ba",0
"1975-1997","ie","be",0
"1975-1997","ie","ch",0
"1975-1997","ie","cy",0
"1975-1997","ie","de",0
"1975-1997","ie","dk",0
"1975-1997","ie","ee",0
"1975-1997","ie","es",0
"1975-1997","ie","fi",0
"1975-1997","ie","fr",0
"1975-1997","ie","gb",0
"1975-1997","ie","gr",0
"1975-1997","ie","hr",0
"1975-1997","ie","hu",0
"1975-1997","ie","il",0
"1975-1997","ie","is",0
"1975-1997","ie","it",0
"1975-1997","ie","lu",0
"1975-1997","ie","mc",0
"1975-1997","ie","mt",0
"1975-1997","ie","nl",0
"1975-1997","ie","no",1
"1975-1997","ie","pl",0
"1975-1997","ie","pt",0
"1975-1997","ie","ru",0
"1975-1997","ie","se",0
"1975-1997","ie","si",0
"1975-1997","ie","tr",0
"1975-1997","ie","yu",0
"1975-1997","il","at",0
"1975-1997","il","be",0
"1975-1997","il","ch",0
"1975-1997","il","cy",0
"1975-1997","il","de",0
"1975-1997","il","dk",0
"1975-1997","il","es",0
"1975-1997","il","fi",0
"1975-1997","il","fr",0
"1975-1997","il","gb",0
"1975-1997","il","gr",0
"1975-1997","il","ie",0
"1975-1997","il","is",0
"1975-1997","il","it",0
"1975-1997","il","lu",0
"1975-1997","il","mc",0
"1975-1997","il","mt",0
"1975-1997","il","nl",0
"1975-1997","il","no",0
"1975-1997","il","pt",0
"1975-1997","il","se",0
"1975-1997","il","tr",0
"1975-1997","il","yu",0
"1975-1997","is","at",0
"1975-1997","is","ba",0
"1975-1997","is","be",0
"1975-1997","is","ch",0
"1975-1997","is","cy",0
"1975-1997","is","de",0
"1975-1997","is","dk",1
"1975-1997","is","ee",0
"1975-1997","is","es",0
"1975-1997","is","fi",0
"1975-1997","is","fr",0
"1975-1997","is","gb",0
"1975-1997","is","gr",0
"1975-1997","is","hr",0
"1975-1997","is","hu",0
"1975-1997","is","ie",0
"1975-1997","is","il",0
"1975-1997","is","it",0
"1975-1997","is","lu",0
"1975-1997","is","mt",0
"1975-1997","is","nl",0
"1975-1997","is","no",0
"1975-1997","is","pl",0
"1975-1997","is","pt",0
"1975-1997","is","ru",0
"1975-1997","is","se",0
"1975-1997","is","si",0
"1975-1997","is","tr",0
"1975-1997","is","yu",1
"1975-1997","it","at",0
"1975-1997","it","be",0
"1975-1997","it","ch",0
"1975-1997","it","cy",0
"1975-1997","it","de",0
"1975-1997","it","dk",0
"1975-1997","it","es",1
"1975-1997","it","fi",0
"1975-1997","it","fr",0
"1975-1997","it","gb",0
"1975-1997","it","gr",0
"1975-1997","it","ie",0
"1975-1997","it","il",0
"1975-1997","it","is",0
"1975-1997","it","lu",0
"1975-1997","it","mc",1
"1975-1997","it","mt",0
"1975-1997","it","nl",0
"1975-1997","it","no",0
"1975-1997","it","pt",0
"1975-1997","it","se",0
"1975-1997","it","tr",0
"1975-1997","it","yu",0
"1975-1997","lu","at",0
"1975-1997","lu","be",0
"1975-1997","lu","ch",0
"1975-1997","lu","cy",0
"1975-1997","lu","de",0
"1975-1997","lu","dk",0
"1975-1997","lu","es",0
"1975-1997","lu","fi",0
"1975-1997","lu","fr",0
"1975-1997","lu","gb",0
"1975-1997","lu","gr",0
"1975-1997","lu","ie",0
"1975-1997","lu","il",0
"1975-1997","lu","is",0
"1975-1997","lu","it",0
"1975-1997","lu","mc",0
"1975-1997","lu","mt",0
"1975-1997","lu","nl",0
"1975-1997","lu","no",0
"1975-1997","lu","pt",0
"1975-1997","lu","se",0
"1975-1997","lu","tr",0
"1975-1997","lu","yu",0
"1975-1997","mc","at",0
"1975-1997","mc","be",0
"1975-1997","mc","ch",0
"1975-1997","mc","de",0
"1975-1997","mc","es",0
"1975-1997","mc","fi",0
"1975-1997","mc","fr",0
"1975-1997","mc","gb",0
"1975-1997","mc","gr",0
"1975-1997","mc","ie",0
"1975-1997","mc","il",0
"1975-1997","mc","it",0
"1975-1997","mc","lu",0
"1975-1997","mc","nl",0
"1975-1997","mc","no",0
"1975-1997","mc","pt",0
"1975-1997","mc","se",0
"1975-1997","mt","at",0
"1975-1997","mt","ba",0
"1975-1997","mt","be",0
"1975-1997","mt","ch",0
"1975-1997","mt","cy",0
"1975-1997","mt","de",0
"1975-1997","mt","dk",0
"1975-1997","mt","ee",0
"1975-1997","mt","es",0
"1975-1997","mt","fi",0
"1975-1997","mt","fr",0
"1975-1997","mt","gb",0
"1975-1997","mt","gr",0
"1975-1997","mt","hr",0
"1975-1997","mt","hu",0
"1975-1997","mt","ie",0
"1975-1997","mt","il",0
"1975-1997","mt","is",0
"1975-1997","mt","it",0
"1975-1997","mt","lu",0
"1975-1997","mt","nl",0
"1975-1997","mt","no",0
"1975-1997","mt","pl",0
"1975-1997","mt","pt",0
"1975-1997","mt","ru",0
"1975-1997","mt","se",0
"1975-1997","mt","si",0
"1975-1997","mt","tr",1
"1975-1997","mt","yu",0
"1975-1997","nl","at",0
"1975-1997","nl","ba",0
"1975-1997","nl","be",0
"1975-1997","nl","ch",0
"1975-1997","nl","cy",0
"1975-1997","nl","de",0
"1975-1997","nl","dk",0
"1975-1997","nl","ee",0
"1975-1997","nl","es",0
"1975-1997","nl","fi",0
"1975-1997","nl","fr",0
"1975-1997","nl","gb",0
"1975-1997","nl","gr",0
"1975-1997","nl","hr",0
"1975-1997","nl","ie",0
"1975-1997","nl","il",0
"1975-1997","nl","is",0
"1975-1997","nl","it",0
"1975-1997","nl","lu",0
"1975-1997","nl","mc",0
"1975-1997","nl","mt",0
"1975-1997","nl","no",1
"1975-1997","nl","pl",0
"1975-1997","nl","pt",0
"1975-1997","nl","se",0
"1975-1997","nl","si",0
"1975-1997","nl","tr",0
"1975-1997","nl","yu",0
"1975-1997","no","at",0
"1975-1997","no","ba",0
"1975-1997","no","be",0
"1975-1997","no","ch",0
"1975-1997","no","cy",0
"1975-1997","no","de",0
"1975-1997","no","dk",1
"1975-1997","no","ee",0
"1975-1997","no","es",0
"1975-1997","no","fi",0
"1975-1997","no","fr",0
"1975-1997","no","gb",0
"1975-1997","no","gr",0
"1975-1997","no","hr",0
"1975-1997","no","hu",0
"1975-1997","no","ie",0
"1975-1997","no","il",0
"1975-1997","no","is",0
"1975-1997","no","it",0
"1975-1997","no","lu",0
"1975-1997","no","mc",0
"1975-1997","no","mt",0
"1975-1997","no","nl",0
"1975-1997","no","pl",0
"1975-1997","no","pt",0
"1975-1997","no","ru",0
"1975-1997","no","se",1
"1975-1997","no","si",0
"1975-1997","no","tr",0
"1975-1997","no","yu",0
"1975-1997","pl","at",0
"1975-1997","pl","ba",0
"1975-1997","pl","ch",0
"1975-1997","pl","cy",0
"1975-1997","pl","de",0
"1975-1997","pl","ee",0
"1975-1997","pl","es",0
"1975-1997","pl","fr",0
"1975-1997","pl","gb",0
"1975-1997","pl","gr",0
"1975-1997","pl","hr",0
"1975-1997","pl","hu",0
"1975-1997","pl","ie",0
"1975-1997","pl","is",0
"1975-1997","pl","mt",0
"1975-1997","pl","nl",0
"1975-1997","pl","no",0
"1975-1997","pl","pt",0
"1975-1997","pl","ru",0
"1975-1997","pl","se",0
"1975-1997","pl","si",0
"1975-1997","pl","tr",0
"1975-1997","pt","at",0
"1975-1997","pt","ba",0
"1975-1997","pt","be",0
"1975-1997","pt","ch",0
"1975-1997","pt","cy",0
"1975-1997","pt","de",1
"1975-1997","pt","dk",0
"1975-1997","pt","ee",0
"1975-1997","pt","es",0
"1975-1997","pt","fi",0
"1975-1997","pt","fr",0
"1975-1997","pt","gb",0
"1975-1997","pt","gr",0
"1975-1997","pt","hr",0
"1975-1997","pt","hu",0
"1975-1997","pt","ie",0
"1975-1997","pt","il",0
"1975-1997","pt","is",0
"1975-1997","pt","it",1
"1975-1997","pt","lu",0
