year,country_id,performer,perf_type,duet,group,female,source
1975,be,Ann Christy,solo_female,0,0,1,wikidata_exact
1975,ch,Simone Drexel,solo_female,0,0,1,wikidata_exact
1975,de,Joy Fleming,solo_female,0,0,1,wikidata_exact
1975,es,Sergio & Estíbaliz,duet,1,0,0,wikidata_fuzzy
1975,fi,Pihasoittajat,group,0,1,0,wikidata_exact
1975,fr,Nicole Rieu,solo_female,0,0,1,wikidata_exact
1975,gb,The Shadows,group,0,1,0,wikidata_exact
1975,ie,The Swarbriggs,duet,1,0,0,wikidata_exact
1975,il,Shlomo Artzi,solo_male,0,0,0,wikidata_exact
1975,it,Wess & Dori Ghezzi,duet,1,0,0,wikidata_exact
1975,lu,Géraldine,solo_female,0,0,1,wikidata_exact
1975,mc,Sophie,solo_ungendered,0,0,0,wikidata_exact
1975,mt,Renato,solo_male,0,0,0,wikidata_exact
1975,nl,Teach-In,group,0,1,0,wikidata_exact
1975,no,Ellen Nikolaysen,solo_female,0,0,1,wikidata_exact
1975,pt,Duarte Mendes,solo_male,0,0,0,wikidata_exact
1975,se,Lars Berghagen and the Dolls,duet,1,0,0,name_heuristic
1975,tr,Semiha Yanki,solo_female,0,0,1,wikidata_exact
1975,yu,Pepel In Kri,group,0,1,0,wikidata_fuzzy
1976,at,Waterloo and Robinson,duet,1,0,0,name_heuristic
1976,be,Pierre Rapsat,solo_male,0,0,0,wikidata_exact
1976,ch,"Peter, Sue and Marc",group,0,1,0,wikidata_exact
1976,de,Les Humphries Singers,group,0,1,0,wikidata_exact
1976,es,Braulio,solo_male,0,0,0,wikidata_exact
1976,fi,Fredi and The Friends,duet,1,0,0,name_heuristic
1976,fr,Catherine Ferry,solo_female,0,0,1,wikidata_exact
1976,gb,Brotherhood of Man,group,0,1,0,wikidata_exact
1976,gr,Mariza Koch,solo_female,0,0,1,wikidata_exact
1976,ie,Red Hurley,solo_male,0,0,0,wikidata_exact
1976,il,"Chocolate, Menta, Mastik",group,0,1,0,wikidata_fuzzy
1976,it,Romina and Al Bano,duet,1,0,0,name_heuristic
1976,lu,Jürgen Marcus,solo_male,0,0,0,wikidata_exact
1976,mc,Mary Christy,solo_female,0,0,1,wikidata_exact
1976,nl,Sandra Reemer,solo_female,0,0,1,wikidata_exact
1976,no,Anne-Karine Ström,solo_female,0,0,1,wikidata_fuzzy
1976,pt,Carlos do Carmo,solo_male,0,0,0,wikidata_exact
1976,yu,Ambasadori,group,0,1,0,wikidata_exact
1977,at,Schmetterlinge,group,0,1,0,wikidata_exact
1977,be,Dream Express,group,0,1,0,wikidata_exact
1977,ch,Pepe Lienhard Band,solo_male,0,0,0,wikidata_fuzzy
1977,de,Silver Convention,group,0,1,0,wikidata_exact
1977,es,Micky,solo_male,0,0,0,wikidata_exact
1977,fi,Monica Aspelund,solo_female,0,0,1,wikidata_exact
1977,fr,Marie Myriam,solo_female,0,0,1,wikidata_exact
1977,gb,Lynsey de Paul and Mike Moran,duet,1,0,0,name_heuristic
1977,gr,"Pascalis, Marianna, Robert and Bessy",duet,1,0,0,name_heuristic
1977,ie,The Swarbriggs Plus Two,duet,1,0,0,wikidata_exact
1977,il,Ilanit,solo_female,0,0,1,wikidata_exact
1977,it,Mia Martini,solo_female,0,0,1,wikidata_exact
1977,lu,Anne Marie B.,solo_female,0,0,1,wikidata_fuzzy
1977,mc,Michèle Torr,solo_female,0,0,1,wikidata_exact
1977,nl,Heddy Lester,solo_female,0,0,1,wikidata_exact
1977,no,Anita Skorgan,solo_female,0,0,1,wikidata_exact
1977,pt,Os Amigos,group,0,1,0,wikidata_exact
1977,se,Forbes,group,0,1,0,wikidata_exact
1978,at,Springtime,group,0,1,0,wikidata_exact
1978,be,Jean Vallée,solo_male,0,0,0,wikidata_exact
1978,ch,Carole Vinci,solo_female,0,0,1,wikidata_exact
1978,de,Ireen Sheer,solo_female,0,0,1,wikidata_exact
1978,dk,Mabel,solo_female,0,0,1,wikidata_exact
1978,es,José Vélez,solo_male,0,0,0,wikidata_exact
1978,fi,Seija Simola,solo_female,0,0,1,wikidata_exact
1978,fr,Joël Prévost,solo_male,0,0,0,wikidata_exact
1978,gb,Co-Co,group,0,1,0,wikidata_exact
1978,gr,Tania Tsanaklidou,solo_female,0,0,1,wikidata_exact
1978,ie,Colm T. Wilkinson,solo_ungendered,0,0,0,unresolved
1978,il,Izhar Cohen and the Alphabeta,duet,1,0,0,name_heuristic
1978,it,Ricchi e Poveri,group,0,1,0,wikidata_exact
1978,lu,Baccara,duet,1,0,0,wikidata_exact
1978,mc,Caline and Olivier Toussaint,duet,1,0,0,name_heuristic
1978,nl,Harmony,group,0,1,0,wikidata_exact
1978,no,Jahn Teigen,solo_male,0,0,0,wikidata_exact
1978,pt,Gemini,group,0,1,0,wikidata_exact
1978,se,Björn Skifs,solo_male,0,0,0,wikidata_exact
1978,tr,Nazar,group,0,1,0,wikidata_exact
1979,at,Christina Simon,solo_female,0,0,1,wikidata_exact
1979,be,Micha Marah,solo_female,0,0,1,wikidata_exact
1979,ch,"Peter, Sue and Marc and Pfuri, Gorps and Kniri",duet,1,0,0,name_heuristic
1979,de,Dschinghis Khan,group,0,1,0,wikidata_exact
1979,dk,Tommy Seebach,solo_male,0,0,0,wikidata_exact
1979,es,Betty Missiego,solo_female,0,0,1,wikidata_exact
1979,fi,Katri-Helena,solo_female,0,0,1,wikidata_fuzzy
1979,fr,Anne-Marie David,solo_female,0,0,1,wikidata_exact
1979,gb,Black Lace,group,0,1,0,wikidata_exact
1979,gr,Elpida,solo_female,0,0,1,wikidata_exact
1979,ie,Cathal Dunne,solo_male,0,0,0,wikidata_exact
1979,il,Milk and Honey,group,0,1,0,wikidata_exact
1979,it,Matia Bazar,group,0,1,0,wikidata_exact
1979,lu,Jeane Manson,solo_female,0,0,1,wikidata_exact
1979,mc,Laurent Vaguener,solo_male,0,0,0,wikidata_fuzzy
1979,nl,Xandra,solo_female,0,0,1,wikidata_exact
1979,no,Anita Skorgan,solo_female,0,0,1,wikidata_exact
1979,pt,Manuela Bravo,solo_female,0,0,1,wikidata_exact
1979,se,Ted Gärdestad,solo_male,0,0,0,wikidata_exact
1980,at,Blue Danube,group,0,1,0,wikidata_exact
1980,be,Telex,group,0,1,0,wikidata_exact
1980,ch,Paola,solo_female,0,0,1,wikidata_exact
1980,de,Katja Ebstein,solo_female,0,0,1,wikidata_exact
1980,dk,Bamses Venner,group,0,1,0,wikidata_exact
1980,es,Trigo Limpio,group,0,1,0,wikidata_exact
1980,fi,Vesa-Matti Loiri,solo_male,0,0,0,wikidata_exact
1980,fr,Profil,group,0,1,0,wikidata_exact
1980,gb,Prima Donna,group,0,1,0,wikidata_exact
1980,gr,Anna Vissi and the Epikouri,duet,1,0,0,name_heuristic
1980,ie,Johnny Logan,solo_male,0,0,0,wikidata_exact
1980,it,Alan Sorrenti,solo_male,0,0,0,wikidata_exact
1980,lu,Sophie and Magaly,duet,1,0,0,name_heuristic
1980,ma,Samira Bensaïd,solo_female,0,0,1,wikidata_exact
1980,nl,Maggie MacNeal,solo_female,0,0,1,wikidata_fuzzy
1980,no,Sverre Kjellsberg & Mattis Hætta,duet,1,0,0,name_heuristic
1980,pt,José Cid,solo_male,0,0,0,wikidata_exact
1980,se,Tomas Ledin,solo_male,0,0,0,wikidata_exact
1980,tr,Ajda Pekkan,solo_female,0,0,1,wikidata_exact
1981,at,Marty Brem,solo_male,0,0,0,wikidata_exact
1981,be,Emly Starr,solo_female,0,0,1,wikidata_exact
1981,ch,"Peter, Sue and Marc",group,0,1,0,wikidata_exact
1981,cy,Island,group,0,1,0,wikidata_exact
1981,de,Lena Valaitis,solo_female,0,0,1,wikidata_exact
1981,dk,Debbie Cameron and Tommy Seebach,duet,1,0,0,name_heuristic
1981,es,Bacchelli,solo_male,0,0,0,wikidata_exact
1981,fi,Riki Sorsa,solo_male,0,0,0,wikidata_exact
1981,fr,Jean Gabilou,solo_male,0,0,0,wikidata_exact
1981,gb,Bucks Fizz,group,0,1,0,wikidata_exact
1981,gr,Yiannis Dimitras,solo_male,0,0,0,wikidata_exact
1981,ie,Sheeba,solo_female,0,0,1,wikidata_exact
1981,il,Habibi,group,0,1,0,wikidata_exact
1981,lu,Jean-Claude Pascal,solo_male,0,0,0,wikidata_exact
1981,nl,Linda Williams,solo_female,0,0,1,wikidata_exact
1981,no,Finn Kalvik,solo_male,0,0,0,wikidata_exact
1981,pt,Carlos Paião,solo_male,0,0,0,wikidata_exact
1981,se,Björn Skifs,solo_male,0,0,0,wikidata_exact
1981,tr,Modern Folk Trio and Aysegül,group,0,1,0,name_heuristic
1981,yu,Seid-Memic Vajta,solo_male,0,0,0,wikidata_fuzzy
1982,at,Mess,duet,1,0,0,wikidata_exact
1982,be,Stella,solo_female,0,0,1,wikidata_exact
1982,ch,Arlette Zola,solo_female,0,0,1,wikidata_exact
1982,cy,Anna Vissi,solo_female,0,0,1,wikidata_exact
1982,de,Nicole,solo_female,0,0,1,wikidata_exact
1982,dk,Brixx,group,0,1,0,wikidata_exact
1982,es,Lucía,solo_female,0,0,1,wikidata_exact
1982,fi,Kojo,solo_male,0,0,0,wikidata_exact
1982,gb,Bardo,duet,1,0,0,wikidata_exact
1982,ie,The Duskeys,group,0,1,0,wikidata_exact
1982,il,Avi Toledano,solo_male,0,0,0,wikidata_exact
1982,lu,Svetlana,solo_female,0,0,1,wikidata_exact
1982,nl,Bill van Dijk,solo_male,0,0,0,wikidata_exact
1982,no,Jahn Teigen & Anita Skorgan,duet,1,0,0,name_heuristic
1982,pt,Doce,group,0,1,0,wikidata_exact
1982,se,Chips,group,0,1,0,wikidata_exact
1982,tr,Neço,solo_male,0,0,0,wikidata_fuzzy
1982,yu,Aska,group,0,1,0,wikidata_exact
1983,at,Westend,group,0,1,0,wikidata_exact
1983,be,Pas de Deux,group,0,1,0,wikidata_exact
1983,ch,Mariella Farré,solo_female,0,0,1,wikidata_exact
1983,cy,Stavros and Constantina,duet,1,0,0,name_heuristic
1983,de,Hoffmann und Hoffmann,duet,1,0,0,wikidata_fuzzy
1983,dk,Gry Johansen,solo_female,0,0,1,wikidata_fuzzy
1983,es,Remedios Amaya,solo_female,0,0,1,wikidata_exact
1983,fi,Ami Aspelund,solo_female,0,0,1,wikidata_exact
1983,fr,Guy Bonnet,solo_male,0,0,0,wikidata_exact
1983,gb,Sweet Dreams,group,0,1,0,wikidata_exact
1983,gr,Christie Stassinopoulou,solo_ungendered,0,0,0,unresolved
1983,il,Ofra Haza,solo_female,0,0,1,wikidata_exact
1983,it,Riccardo Fogli,solo_male,0,0,0,wikidata_exact
1983,lu,Corinne Hermès,solo_female,0,0,1,wikidata_exact
1983,nl,Bernadette,solo_female,0,0,1,wikidata_exact
1983,no,Jahn Teigen,solo_male,0,0,0,wikidata_exact
1983,pt,Armando Gama,solo_male,0,0,0,wikidata_exact
1983,se,Carola Häggkvist,solo_female,0,0,1,wikidata_exact
1983,tr,Çetin Alp and the Short Wave,duet,1,0,0,name_heuristic
1983,yu,Danijel,solo_male,0,0,0,wikidata_exact
1984,at,Anita,solo_female,0,0,1,wikidata_exact
1984,be,Jacques Zegers,solo_male,0,0,0,wikidata_exact
1984,ch,Rainy Day,group,0,1,0,wikidata_exact
1984,cy,Andy Paul,solo_male,0,0,0,wikidata_exact
1984,de,Mary Roos,solo_female,0,0,1,wikidata_exact
1984,dk,Hot Eyes,duet,1,0,0,wikidata_exact
1984,es,Bravo,solo_female,0,0,1,wikidata_exact
1984,fi,Kirka,solo_male,0,0,0,wikidata_exact
1984,fr,Annick Thoumazeau,solo_female,0,0,1,wikidata_exact
1984,gb,Belle and the Devotions,group,0,1,0,wikidata_exact
1984,ie,Linda Martin,solo_female,0,0,1,wikidata_exact
1984,it,Alice and Battiato,duet,1,0,0,name_heuristic
1984,lu,Sophie Carle,solo_female,0,0,1,wikidata_exact
1984,nl,Maribelle,solo_female,0,0,1,wikidata_exact
1984,no,Dollie de Luxe,group,0,1,0,wikidata_exact
1984,pt,Maria Guinot,solo_female,0,0,1,wikidata_exact
1984,se,Herrey's,group,0,1,0,wikidata_fuzzy
1984,tr,"Bes Yil Önce, On Yil Sonra",group,0,1,0,wikidata_fuzzy
1984,yu,Vlado and Isolda,duet,1,0,0,name_heuristic
1985,at,Gary Lux,solo_male,0,0,0,wikidata_exact
1985,be,Linda Lepomme,solo_female,0,0,1,wikidata_exact
1985,ch,Mariella Farré and Pino Gasparini,duet,1,0,0,name_heuristic
1985,cy,Lia Vishy,solo_ungendered,0,0,0,unresolved
1985,de,Wind,group,0,1,0,wikidata_exact
1985,dk,Hot Eyes,duet,1,0,0,wikidata_exact
1985,es,Paloma San Basilio,solo_female,0,0,1,wikidata_exact
1985,fi,Sonja Lumme,solo_female,0,0,1,wikidata_exact
1985,fr,Roger Bens,solo_male,0,0,0,wikidata_exact
1985,gb,Vikki,solo_female,0,0,1,wikidata_exact
1985,gr,Takis Biniaris,solo_male,0,0,0,wikidata_exact
1985,ie,Maria Christian,solo_female,0,0,1,wikidata_exact
1985,il,Izhar Cohen,solo_male,0,0,0,wikidata_exact
1985,it,Al Bano and Romina Power,group,0,1,0,wikidata_exact
1985,lu,"Margo, Franck, Diane, Ireen, Malcolm & Chris",duet,1,0,0,name_heuristic
1985,no,Bobbysocks,duet,1,0,0,wikidata_fuzzy
1985,pt,Adelaïde,solo_female,0,0,1,wikidata_fuzzy
1985,se,Kikki Danielsson,solo_female,0,0,1,wikidata_exact
1985,tr,MFÖ,group,0,1,0,wikidata_exact
1986,at,Timna Brauer,solo_female,0,0,1,wikidata_exact
1986,be,Sandra Kim,solo_female,0,0,1,wikidata_exact
1986,ch,Daniela Simons,solo_female,0,0,1,wikidata_exact
1986,cy,Elpida,solo_female,0,0,1,wikidata_exact
1986,de,Ingrid Peters,solo_female,0,0,1,wikidata_exact
1986,dk,Lise Haavik and Trax,duet,1,0,0,name_heuristic
1986,es,Cadillac,group,0,1,0,wikidata_exact
1986,fi,Kari Kuivalainen,solo_male,0,0,0,wikidata_exact
1986,fr,Cocktail Chic,group,0,1,0,wikidata_exact
1986,gb,Ryder,solo_male,0,0,0,wikidata_exact
1986,ie,Luv Bug,group,0,1,0,wikidata_exact
1986,il,Moti Galadi and Sarai Tzuriel,duet,1,0,0,name_heuristic
1986,is,Icy,solo_ungendered,0,0,0,wikidata_exact
1986,lu,Sherisse Laurence,solo_female,0,0,1,wikidata_exact
1986,nl,Frizzle Sizzle,group,0,1,0,wikidata_exact
1986,no,Ketil Stokkan,solo_male,0,0,0,wikidata_exact
1986,pt,Dora,solo_female,0,0,1,wikidata_exact
1986,se,Lasse Holm & Monica Törnell,duet,1,0,0,name_heuristic
1986,tr,Klips ve Onlar,group,0,1,0,wikidata_exact
1986,yu,Doris Dragović,solo_female,0,0,1,wikidata_exact
1987,at,Gary Lux,solo_male,0,0,0,wikidata_exact
1987,be,Liliane Saint-Pierre,solo_female,0,0,1,wikidata_exact
1987,ch,Carole Rich,solo_female,0,0,1,wikidata_exact
1987,cy,Alexia,solo_female,0,0,1,wikidata_exact
1987,de,Wind,group,0,1,0,wikidata_exact
1987,dk,Anne-Cathrine Herdorf,solo_female,0,0,1,wikidata_fuzzy
1987,es,Patricia Kraus,solo_female,0,0,1,wikidata_exact
1987,fi,Vicky Rosti,solo_female,0,0,1,wikidata_exact
1987,fr,Christine Minier,solo_female,0,0,1,wikidata_exact
1987,gb,Rikki,solo_male,0,0,0,wikidata_exact
1987,gr,Bang,solo_male,0,0,0,wikidata_exact
1987,ie,Johnny Logan,solo_male,0,0,0,wikidata_exact
1987,il,Datner and Kushnir,duet,1,0,0,name_heuristic
1987,is,Halla Margarét,solo_ungendered,0,0,0,unresolved
1987,it,Umberto Tozzi and Raf,duet,1,0,0,name_heuristic
1987,lu,Plastic Bertrand,solo_male,0,0,0,wikidata_exact
1987,nl,Marcha,solo_female,0,0,1,wikidata_exact
1987,no,Kate Gulbrandsen,solo_female,0,0,1,wikidata_exact
1987,pt,Nevada,group,0,1,0,wikidata_exact
1987,se,Lotta Engberg,solo_female,0,0,1,wikidata_exact
1987,tr,Seyyal Tanner & Lokomotif,duet,1,0,0,name_heuristic
1987,yu,Novi Fosili,group,0,1,0,wikidata_fuzzy
1988,at,Wilfried,solo_male,0,0,0,wikidata_exact
1988,be,Reynaert,solo_male,0,0,0,wikidata_exact
1988,ch,Céline Dion,solo_female,0,0,1,wikidata_exact
1988,de,Maxi and Chris Garden,duet,1,0,0,name_heuristic
1988,dk,Kirsten & Søren,duet,1,0,0,wikidata_fuzzy
1988,es,La Década,group,0,1,0,wikidata_exact
1988,fi,Boulevard,group,0,1,0,wikidata_exact
1988,fr,Gérard Lenorman,solo_male,0,0,0,wikidata_exact
1988,gb,Scott Fitzgerald,solo_male,0,0,0,wikidata_exact
1988,gr,Aphroditi Fryda,solo_ungendered,0,0,0,unresolved
1988,ie,Jump the Gun,group,0,1,0,wikidata_exact
1988,il,Yardena Arazi,solo_female,0,0,1,wikidata_exact
1988,is,Beathoven,group,0,1,0,wikidata_exact
1988,it,Luca Barbarossa,solo_male,0,0,0,wikidata_exact
1988,lu,Lara Fabian,solo_female,0,0,1,wikidata_exact
1988,nl,Gerard Joling,solo_male,0,0,0,wikidata_exact
1988,no,Karoline Krüger,solo_female,0,0,1,wikidata_exact
1988,pt,Dora,solo_female,0,0,1,wikidata_exact
1988,se,Tommy Körberg,solo_male,0,0,0,wikidata_exact
1988,tr,MFÖ,group,0,1,0,wikidata_exact
1988,yu,Srebrna Krila,group,0,1,0,wikidata_fuzzy
1989,at,Thomas Forstner,solo_male,0,0,0,wikidata_exact
1989,be,Ingeborg,solo_female,0,0,1,wikidata_exact
1989,ch,Furbaz,group,0,1,0,wikidata_exact
1989,cy,Fanny Polymeri and Yiannis Savvidakis,duet,1,0,0,name_heuristic
1989,de,Nino de Angelo,solo_male,0,0,0,wikidata_exact
1989,dk,Birthe Kjær,solo_female,0,0,1,wikidata_fuzzy
1989,es,Nina,solo_female,0,0,1,wikidata_exact
1989,fi,Anneli Saaristo,solo_female,0,0,1,wikidata_exact
1989,fr,Nathalie Pâque,solo_female,0,0,1,wikidata_exact
1989,gb,Live Report,group,0,1,0,wikidata_exact
1989,gr,Marianna,solo_female,0,0,1,wikidata_exact
1989,ie,Kiev Connolly and the Missing Passengers,duet,1,0,0,name_heuristic
1989,il,Gili & Galit,duet,1,0,0,wikidata_exact
1989,is,Daníel Augúst Haraldsson,solo_ungendered,0,0,0,unresolved
1989,it,Anna Oxa and Fausto Leali,duet,1,0,0,name_heuristic
1989,lu,Park Café,group,0,1,0,wikidata_exact
1989,nl,Justine Pelmelay,solo_female,0,0,1,wikidata_exact
1989,no,Britt Synnøve Johansen,solo_female,0,0,1,wikidata_fuzzy
1989,pt,Da Vinci,solo_male,0,0,0,wikidata_exact
1989,se,Tommy Nilsson,solo_male,0,0,0,wikidata_exact
1989,tr,Pan,solo_male,0,0,0,wikidata_exact
1989,yu,Riva,group,0,1,0,wikidata_exact
1990,at,Simone,solo_female,0,0,1,wikidata_exact
1990,be,Philippe Lafontaine,solo_male,0,0,0,wikidata_exact
1990,ch,Egon Egemann,solo_male,0,0,0,wikidata_exact
1990,cy,Haris Anastasiou,solo_male,0,0,0,wikidata_exact
1990,de,Chris Kempers and Daniel Kovac,duet,1,0,0,name_heuristic
1990,dk,Lonnie Devantier,solo_female,0,0,1,wikidata_fuzzy
1990,es,Azúcar Moreno,duet,1,0,0,wikidata_exact
1990,fi,Beat,group,0,1,0,wikidata_exact
1990,fr,Joelle Ursull,solo_female,0,0,1,wikidata_fuzzy
1990,gb,Emma,solo_female,0,0,1,wikidata_exact
1990,gr,Christos Callow and Wave,duet,1,0,0,name_heuristic
1990,ie,Liam Reilly,solo_male,0,0,0,wikidata_exact
1990,il,Rita,solo_female,0,0,1,wikidata_exact
1990,is,Stjórnin,duet,1,0,0,wikidata_exact
1990,it,Toto Cutugno,solo_male,0,0,0,wikidata_exact
1990,lu,Céline Carzo,solo_female,0,0,1,wikidata_exact
1990,nl,Maywood,duet,1,0,0,wikidata_exact
1990,no,Ketil Stokkan,solo_male,0,0,0,wikidata_exact
1990,pt,Nucha,solo_female,0,0,1,wikidata_exact
1990,se,Edin-Ådahl,group,0,1,0,wikidata_exact
1990,tr,Kayahan,solo_male,0,0,0,wikidata_exact
1990,yu,Tajci,solo_female,0,0,1,wikidata_fuzzy
1991,at,Thomas Forstner,solo_male,0,0,0,wikidata_exact
1991,be,Clouseau,group,0,1,0,wikidata_exact
1991,ch,Sandra Simò,solo_female,0,0,1,wikidata_fuzzy
1991,cy,Elena Patroclou,solo_ungendered,0,0,0,unresolved
1991,de,Atlantis 2000,group,0,1,0,wikidata_exact
1991,dk,Anders Frandsen,solo_male,0,0,0,wikidata_exact
1991,es,Sergio Dalma,solo_male,0,0,0,wikidata_exact
1991,fi,Kaija,solo_female,0,0,1,wikidata_fuzzy
1991,fr,Amina,solo_female,0,0,1,wikidata_exact
1991,gb,Samantha Janus,solo_female,0,0,1,wikidata_exact
1991,gr,Sofia Vossou,solo_female,0,0,1,wikidata_exact
1991,ie,Kim Jackson,solo_female,0,0,1,wikidata_exact
1991,il,Duo Datz,duet,1,0,0,wikidata_exact
1991,is,Stefán and Eyfi,group,0,1,0,wikidata_exact
1991,it,Peppino di Capri,solo_male,0,0,0,wikidata_exact
1991,lu,Sarah Bray,solo_female,0,0,1,wikidata_exact
1991,mt,Paul Giordimaina and Georgina,duet,1,0,0,name_heuristic
1991,no,Just 4 Fun,group,0,1,0,wikidata_exact
1991,pt,Dulce,solo_female,0,0,1,wikidata_exact
1991,se,Carola,solo_female,0,0,1,wikidata_exact
1991,tr,"Izel Çeliköz, Rayhan Soykarçi and Can Ugurluér",duet,1,0,0,name_heuristic
1991,yu,Baby Doll,solo_ungendered,0,0,0,unresolved
1992,at,Tony Wegas,solo_male,0,0,0,wikidata_exact
1992,be,Morgane,solo_female,0,0,1,wikidata_exact
1992,ch,Daisy Auvray,solo_female,0,0,1,wikidata_exact
1992,cy,Evridiki,solo_female,0,0,1,wikidata_exact
1992,de,Wind,group,0,1,0,wikidata_exact
1992,dk,Kenny & Lotte,duet,1,0,0,name_heuristic
1992,es,Serafin,solo_male,0,0,0,wikidata_exact
1992,fi,Pave,solo_ungendered,0,0,0,wikidata_fuzzy
1992,fr,Kali,solo_male,0,0,0,wikidata_exact
1992,gb,Michael Ball,solo_male,0,0,0,wikidata_exact
1992,gr,Cleopatra,solo_female,0,0,1,wikidata_exact
1992,ie,Linda Martin,solo_female,0,0,1,wikidata_exact
1992,il,Dafna,solo_female,0,0,1,wikidata_fuzzy
1992,is,Heart 2 Heart,group,0,1,0,wikidata_exact
1992,it,Mia Martini,solo_female,0,0,1,wikidata_exact
1992,lu,Marion Welter and Kontinent,duet,1,0,0,name_heuristic
1992,mt,Mary Spiteri,solo_female,0,0,1,wikidata_exact
1992,nl,Humphrey Campbell,solo_male,0,0,0,wikidata_exact
1992,no,Merethe Trøan,solo_female,0,0,1,wikidata_exact
1992,pt,Diná,solo_female,0,0,1,wikidata_fuzzy
1992,se,Christer Björkman,solo_male,0,0,0,wikidata_exact
1992,tr,Aylin Vatankos,solo_female,0,0,1,wikidata_fuzzy
1992,yu,Extra Nena,solo_female,0,0,1,wikidata_fuzzy
1993,at,Tony Wegas,solo_male,0,0,0,wikidata_exact
1993,ba,Fazla,solo_male,0,0,0,wikidata_exact
1993,be,Barbara,solo_female,0,0,1,wikidata_exact
1993,ch,Annie Cotton,solo_female,0,0,1,wikidata_exact
1993,cy,Kyriakos Zymboulakis & Demos Van Beke,duet,1,0,0,name_heuristic
1993,de,Münchener Freiheit,group,0,1,0,wikidata_exact
1993,dk,Tommy Seebach Band,group,0,1,0,name_heuristic
1993,es,Eva Santamaria,solo_female,0,0,1,wikidata_exact
1993,fi,Katri-Helena,solo_female,0,0,1,wikidata_fuzzy
1993,fr,Patrick Fiori,solo_male,0,0,0,wikidata_exact
1993,gb,Sonia,solo_female,0,0,1,wikidata_exact
1993,gr,Kaiti Garbi,solo_female,0,0,1,wikidata_fuzzy
1993,hr,Put,group,0,1,0,wikidata_exact
1993,ie,Niamh Kavanagh,solo_female,0,0,1,wikidata_exact
1993,il,Lakahat Shiru,solo_ungendered,0,0,0,unresolved
1993,is,Inga,solo_female,0,0,1,wikidata_exact
1993,it,Enrico Ruggeri,solo_male,0,0,0,wikidata_exact
1993,lu,Modern Times,group,0,1,0,wikidata_exact
1993,mt,William Mangion,solo_male,0,0,0,wikidata_exact
1993,nl,Ruth Jacott,solo_female,0,0,1,wikidata_exact
1993,no,Silje Vige,solo_female,0,0,1,wikidata_exact
1993,pt,Anabela,solo_female,0,0,1,wikidata_exact
1993,se,Arvingarna,group,0,1,0,wikidata_exact
1993,si,1X Band,group,0,1,0,wikidata_fuzzy
1993,tr,"Burak Aydos, Öztürk Baybora & Serter",duet,1,0,0,name_heuristic
1994,at,Petra Frey,solo_female,0,0,1,wikidata_exact
1994,ba,Alma and Dejan,duet,1,0,0,name_heuristic
1994,ch,Duilio,solo_male,0,0,0,wikidata_exact
1994,cy,Evridiki,solo_female,0,0,1,wikidata_exact
